Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
5530400C23Rik	current symbol	MGI:1918650	5530400C23Rik	RIKEN cDNA 5530400C23 gene	protein coding gene
5730455P16Rik	current symbol	MGI:1917841	5730455P16Rik	RIKEN cDNA 5730455P16 gene	protein coding gene
6030468B19Rik	current symbol	MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	protein coding gene
6430571L13Rik	current symbol	MGI:2445137	6430571L13Rik	RIKEN cDNA 6430571L13 gene	protein coding gene
9530068E07Rik	current symbol	MGI:2654705	9530068E07Rik	RIKEN cDNA 9530068E07 gene	protein coding gene
a	current symbol	MGI:87853	a	nonagouti	protein coding gene
A1bg	current symbol	MGI:2152878	A1bg	alpha-1-B glycoprotein	protein coding gene
A1cf	current symbol	MGI:1917115	A1cf	APOBEC1 complementation factor	protein coding gene
A2m	current symbol	MGI:2449119	A2m	alpha-2-macroglobulin	protein coding gene
A2m	human synonym	MGI:96444	Igha	immunoglobulin heavy constant alpha	gene segment
A2ml1	current symbol	MGI:3039594	A2ml1	alpha-2-macroglobulin like 1	protein coding gene
A3galt2	current symbol	MGI:2685279	A3galt2	alpha 1,3-galactosyltransferase 2	protein coding gene
A430005L14Rik	current symbol	MGI:2140680	A430005L14Rik	RIKEN cDNA A430005L14 gene	protein coding gene
A430033K04Rik	current symbol	MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	protein coding gene
A4galt	current symbol	MGI:3512453	A4galt	alpha 1,4-galactosyltransferase	protein coding gene
A4gnt	current symbol	MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	protein coding gene
A530016L24Rik	current symbol	MGI:2443020	A530016L24Rik	RIKEN cDNA A530016L24 gene	protein coding gene
AA467197	current symbol	MGI:3034182	AA467197	expressed sequence AA467197	protein coding gene
AA467197	Genbank	MGI:3034182	AA467197	expressed sequence AA467197	protein coding gene
AA986860	current symbol	MGI:2138143	AA986860	expressed sequence AA986860	protein coding gene
AA986860	Genbank	MGI:2138143	AA986860	expressed sequence AA986860	protein coding gene
Aaas	current symbol	MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia	protein coding gene
Aacs	current symbol	MGI:1926144	Aacs	acetoacetyl-CoA synthetase	protein coding gene
Aadac	current symbol	MGI:1915008	Aadac	arylacetamide deacetylase	protein coding gene
Aadac	zebrafish symbol	MGI:3646333	Aadacl2	arylacetamide deacetylase like 2	protein coding gene
Aadac	zebrafish symbol	MGI:3028051	Aadacl2fm1	AADACL2 family member 1	protein coding gene
Aadac	zebrafish symbol	MGI:3779495	Aadacl2fm2	AADACL2 family member 2	protein coding gene
Aadac	zebrafish symbol	MGI:3643798	Aadacl2fm3	AADACL2 family member 3	protein coding gene
Aadacl3	current symbol	MGI:2685281	Aadacl3	arylacetamide deacetylase like 3	protein coding gene
Aadacl4fm1	current symbol	MGI:2685880	Aadacl4fm1	AADACL4 family member 1	protein coding gene
Aadat	current symbol	MGI:1345167	Aadat	aminoadipate aminotransferase	protein coding gene
Aagab	current symbol	MGI:1914189	Aagab	alpha- and gamma-adaptin binding protein	protein coding gene
Aak1	current symbol	MGI:1098687	Aak1	AP2 associated kinase 1	protein coding gene
Aamdc	current symbol	MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	protein coding gene
Aamp	current symbol	MGI:107809	Aamp	angio-associated migratory protein	protein coding gene
Aanat	current symbol	MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	protein coding gene
Aar2	current symbol	MGI:1915545	Aar2	AAR2 splicing factor homolog	protein coding gene
Aars1	current symbol	MGI:2384560	Aars1	alanyl-tRNA synthetase 1	protein coding gene
Aars2	current symbol	MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	protein coding gene
Aars2	zebrafish symbol	MGI:2136878	B3galt5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	protein coding gene
Aarsd1	current symbol	MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	protein coding gene
Aasdh	current symbol	MGI:2442517	Aasdh	aminoadipate-semialdehyde dehydrogenase	protein coding gene
Aasdhppt	current symbol	MGI:1914868	Aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein coding gene
Aass	current symbol	MGI:1353573	Aass	aminoadipate-semialdehyde synthase	protein coding gene
Aatf	current symbol	MGI:1929608	Aatf	apoptosis antagonizing transcription factor	protein coding gene
Aatk	current symbol	MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	protein coding gene
AB124611	current symbol	MGI:3043001	AB124611	cDNA sequence AB124611	protein coding gene
AB124611	Genbank	MGI:3043001	AB124611	cDNA sequence AB124611	protein coding gene
Abat	current symbol	MGI:2443582	Abat	4-aminobutyrate aminotransferase	protein coding gene
Abca1	current symbol	MGI:99607	Abca1	ATP-binding cassette, sub-family A member 1	protein coding gene
Abca12	current symbol	MGI:2676312	Abca12	ATP-binding cassette, sub-family A member 12	protein coding gene
Abca13	current symbol	MGI:2388707	Abca13	ATP-binding cassette, sub-family A member 13	protein coding gene
Abca17	current symbol	MGI:3625331	Abca17	ATP-binding cassette, sub-family A member 17	protein coding gene
Abca2	current symbol	MGI:99606	Abca2	ATP-binding cassette, sub-family A member 2	protein coding gene
Abca3	current symbol	MGI:1351617	Abca3	ATP-binding cassette, sub-family A member 3	protein coding gene
Abca4	current symbol	MGI:109424	Abca4	ATP-binding cassette, sub-family A member 4	protein coding gene
Abca5	current symbol	MGI:2386607	Abca5	ATP-binding cassette, sub-family A member 5	protein coding gene
Abca5	zebrafish symbol	MGI:1923434	Abca6	ATP-binding cassette, sub-family A member 6	protein coding gene
Abca5	zebrafish symbol	MGI:2386846	Abca8a	ATP-binding cassette, sub-family A member 8a	protein coding gene
Abca5	zebrafish symbol	MGI:1351668	Abca8b	ATP-binding cassette, sub-family A member 8b	protein coding gene
Abca5	zebrafish symbol	MGI:2386796	Abca9	ATP-binding cassette, sub-family A member 9	protein coding gene
Abca6	current symbol	MGI:1923434	Abca6	ATP-binding cassette, sub-family A member 6	protein coding gene
Abca7	current symbol	MGI:1351646	Abca7	ATP-binding cassette, sub-family A member 7	protein coding gene
Abca8a	current symbol	MGI:2386846	Abca8a	ATP-binding cassette, sub-family A member 8a	protein coding gene
Abca8b	current symbol	MGI:1351668	Abca8b	ATP-binding cassette, sub-family A member 8b	protein coding gene
Abca9	current symbol	MGI:2386796	Abca9	ATP-binding cassette, sub-family A member 9	protein coding gene
Abcb10	current symbol	MGI:1860508	Abcb10	ATP-binding cassette, sub-family B member 10	protein coding gene
Abcb11	current symbol	MGI:1351619	Abcb11	ATP-binding cassette, sub-family B member 11	protein coding gene
Abcb1a	current symbol	MGI:97570	Abcb1a	ATP-binding cassette, sub-family B member 1A	protein coding gene
Abcb1b	current symbol	MGI:97568	Abcb1b	ATP-binding cassette, sub-family B member 1B	protein coding gene
Abcb4	zebrafish symbol	MGI:97570	Abcb1a	ATP-binding cassette, sub-family B member 1A	protein coding gene
Abcb4	zebrafish symbol	MGI:97568	Abcb1b	ATP-binding cassette, sub-family B member 1B	protein coding gene
Abcb4	current symbol	MGI:97569	Abcb4	ATP-binding cassette, sub-family B member 4	protein coding gene
Abcb5	current symbol	MGI:1924956	Abcb5	ATP-binding cassette, sub-family B member 5	protein coding gene
Abcb6	current symbol	MGI:1921354	Abcb6	ATP-binding cassette, sub-family B member 6	protein coding gene
Abcb7	current symbol	MGI:109533	Abcb7	ATP-binding cassette, sub-family B member 7	protein coding gene
Abcb8	current symbol	MGI:1351667	Abcb8	ATP-binding cassette, sub-family B member 8	protein coding gene
Abcb9	current symbol	MGI:1861729	Abcb9	ATP-binding cassette, sub-family B member 9	protein coding gene
Abcc1	current symbol	MGI:102676	Abcc1	ATP-binding cassette, sub-family C member 1	protein coding gene
Abcc10	current symbol	MGI:2386976	Abcc10	ATP-binding cassette, sub-family C member 10	protein coding gene
Abcc12	current symbol	MGI:2441679	Abcc12	ATP-binding cassette, sub-family C member 12	protein coding gene
Abcc2	current symbol	MGI:1352447	Abcc2	ATP-binding cassette, sub-family member 2	protein coding gene
Abcc3	current symbol	MGI:1923658	Abcc3	ATP-binding cassette, sub-family C member 3	protein coding gene
Abcc4	current symbol	MGI:2443111	Abcc4	ATP-binding cassette, sub-family C member 4	protein coding gene
Abcc5	current symbol	MGI:1351644	Abcc5	ATP-binding cassette, sub-family C member 5	protein coding gene
Abcc6	current symbol	MGI:1351634	Abcc6	ATP-binding cassette, sub-family C member 6	protein coding gene
Abcc8	current symbol	MGI:1352629	Abcc8	ATP-binding cassette, sub-family C member 8	protein coding gene
Abcc9	current symbol	MGI:1352630	Abcc9	ATP-binding cassette, sub-family C member 9	protein coding gene
Abcd1	current symbol	MGI:1349215	Abcd1	ATP-binding cassette, sub-family D member 1	protein coding gene
Abcd2	current symbol	MGI:1349467	Abcd2	ATP-binding cassette, sub-family D member 2	protein coding gene
Abcd3	current symbol	MGI:1349216	Abcd3	ATP-binding cassette, sub-family D member 3	protein coding gene
Abcd4	current symbol	MGI:1349217	Abcd4	ATP-binding cassette, sub-family D member 4	protein coding gene
Abce1	current symbol	MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	protein coding gene
Abcf1	current symbol	MGI:1351658	Abcf1	ATP-binding cassette, sub-family F member 1	protein coding gene
Abcf2	current symbol	MGI:1351657	Abcf2	ATP-binding cassette, sub-family F member 2	protein coding gene
Abcf3	current symbol	MGI:1351656	Abcf3	ATP-binding cassette, sub-family F member 3	protein coding gene
Abcg1	current symbol	MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	protein coding gene
Abcg2	current symbol	MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	protein coding gene
Abcg2	human symbol	MGI:1351624	Abcg3	ATP binding cassette subfamily G member 3	protein coding gene
Abcg3	current symbol	MGI:1351624	Abcg3	ATP binding cassette subfamily G member 3	protein coding gene
Abcg4	current symbol	MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	protein coding gene
Abcg5	current symbol	MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	protein coding gene
Abcg8	current symbol	MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	protein coding gene
Abhd10	current symbol	MGI:2442422	Abhd10	abhydrolase domain containing 10	protein coding gene
Abhd11	current symbol	MGI:1916008	Abhd11	abhydrolase domain containing 11	protein coding gene
Abhd12	current symbol	MGI:1923442	Abhd12	abhydrolase domain containing 12	protein coding gene
Abhd13	current symbol	MGI:1916154	Abhd13	abhydrolase domain containing 13	protein coding gene
Abhd14a	current symbol	MGI:1915894	Abhd14a	abhydrolase domain containing 14A	protein coding gene
Abhd14b	current symbol	MGI:1923741	Abhd14b	abhydrolase domain containing 14b	protein coding gene
Abhd15	current symbol	MGI:1914727	Abhd15	abhydrolase domain containing 15	protein coding gene
Abhd16a	current symbol	MGI:99476	Abhd16a	abhydrolase domain containing 16A	protein coding gene
Abhd16b	current symbol	MGI:3607711	Abhd16b	abhydrolase domain containing 16B	protein coding gene
Abhd17a	current symbol	MGI:106388	Abhd17a	abhydrolase domain containing 17A	protein coding gene
Abhd17b	current symbol	MGI:1917816	Abhd17b	abhydrolase domain containing 17B	protein coding gene
Abhd17c	current symbol	MGI:1917428	Abhd17c	abhydrolase domain containing 17C	protein coding gene
Abhd18	current symbol	MGI:1915468	Abhd18	abhydrolase domain containing 18	protein coding gene
Abhd2	current symbol	MGI:1914344	Abhd2	abhydrolase domain containing 2	protein coding gene
Abhd3	current symbol	MGI:2147183	Abhd3	abhydrolase domain containing 3	protein coding gene
Abhd4	current symbol	MGI:1915938	Abhd4	abhydrolase domain containing 4	protein coding gene
Abhd5	current symbol	MGI:1914719	Abhd5	abhydrolase domain containing 5	protein coding gene
Abhd6	current symbol	MGI:1913332	Abhd6	abhydrolase domain containing 6	protein coding gene
Abhd8	current symbol	MGI:1918946	Abhd8	abhydrolase domain containing 8	protein coding gene
Abi1	current symbol	MGI:104913	Abi1	abl interactor 1	protein coding gene
Abi2	current symbol	MGI:106913	Abi2	abl interactor 2	protein coding gene
Abi3	current symbol	MGI:1913860	Abi3	ABI family member 3	protein coding gene
Abi3bp	current symbol	MGI:2444583	Abi3bp	ABI family member 3 binding protein	protein coding gene
Abitram	current symbol	MGI:2677850	Abitram	actin binding transcription modulator	protein coding gene
Abl1	current symbol	MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	protein coding gene
Abl2	current symbol	MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein coding gene
Ablim1	current symbol	MGI:1194500	Ablim1	actin-binding LIM protein 1	protein coding gene
Ablim2	current symbol	MGI:2385758	Ablim2	actin-binding LIM protein 2	protein coding gene
Ablim3	current symbol	MGI:2442582	Ablim3	actin binding LIM protein family, member 3	protein coding gene
Abo	current symbol	MGI:2135738	Abo	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	protein coding gene
Abr	current symbol	MGI:107771	Abr	active BCR-related gene	protein coding gene
Abra	current symbol	MGI:2444891	Abra	actin-binding Rho activating protein	protein coding gene
Abraxas1	current symbol	MGI:1917931	Abraxas1	BRCA1 A complex subunit	protein coding gene
Abraxas2	current symbol	MGI:1926116	Abraxas2	BRISC complex subunit	protein coding gene
Abt1	current symbol	MGI:1353636	Abt1	activator of basal transcription 1	protein coding gene
Abtb1	current symbol	MGI:1933148	Abtb1	ankyrin repeat and BTB domain containing 1	protein coding gene
Abtb2	current symbol	MGI:2139365	Abtb2	ankyrin repeat and BTB domain containing 2	protein coding gene
Abtb3	current symbol	MGI:1921257	Abtb3	ankyrin repeat and BTB domain containing 3	protein coding gene
Acaa1a	current symbol	MGI:2148491	Acaa1a	acetyl-Coenzyme A acyltransferase 1A	protein coding gene
Acaa1b	current symbol	MGI:3605455	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	protein coding gene
Acaa2	current symbol	MGI:1098623	Acaa2	acetyl-CoA acyltransferase 2	protein coding gene
Acaca	current symbol	MGI:108451	Acaca	acetyl-Coenzyme A carboxylase alpha	protein coding gene
Acacb	current symbol	MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	protein coding gene
Acad10	current symbol	MGI:1919235	Acad10	acyl-Coenzyme A dehydrogenase family, member 10	protein coding gene
Acad10	human symbol	MGI:2443320	Acad12	acyl-Coenzyme A dehydrogenase family, member 12	protein coding gene
Acad11	current symbol	MGI:2143169	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	protein coding gene
Acad8	current symbol	MGI:1914198	Acad8	acyl-Coenzyme A dehydrogenase family, member 8	protein coding gene
Acad9	current symbol	MGI:1914272	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	protein coding gene
Acadl	current symbol	MGI:87866	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	protein coding gene
Acadm	current symbol	MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	protein coding gene
Acads	current symbol	MGI:87868	Acads	acyl-Coenzyme A dehydrogenase, short chain	protein coding gene
Acadsb	current symbol	MGI:1914135	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain	protein coding gene
Acadvl	current symbol	MGI:895149	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	protein coding gene
Acan	current symbol	MGI:99602	Acan	aggrecan	protein coding gene
Acap1	current symbol	MGI:2388270	Acap1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	protein coding gene
Acap2	current symbol	MGI:1925868	Acap2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	protein coding gene
Acat1	current symbol	MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	protein coding gene
Acat1	human synonym	MGI:104665	Soat1	sterol O-acyltransferase 1	protein coding gene
Acat2	current symbol	MGI:87871	Acat2	acetyl-Coenzyme A acetyltransferase 2	protein coding gene
Acat2	human symbol	MGI:109182	Acat3	acetyl-Coenzyme A acetyltransferase 3	protein coding gene
Acat2	synonym	MGI:1332226	Soat2	sterol O-acyltransferase 2	protein coding gene
Acat3	rat synonym	MGI:87871	Acat2	acetyl-Coenzyme A acetyltransferase 2	protein coding gene
Acat3	current symbol	MGI:109182	Acat3	acetyl-Coenzyme A acetyltransferase 3	protein coding gene
Acbd3	current symbol	MGI:2181074	Acbd3	acyl-Coenzyme A binding domain containing 3	protein coding gene
Acbd5	current symbol	MGI:1921409	Acbd5	acyl-Coenzyme A binding domain containing 5	protein coding gene
Acbd6	current symbol	MGI:1919732	Acbd6	acyl-Coenzyme A binding domain containing 6	protein coding gene
Acbd7	current symbol	MGI:1925495	Acbd7	acyl-Coenzyme A binding domain containing 7	protein coding gene
Accs	current symbol	MGI:1919717	Accs	1-aminocyclopropane-1-carboxylate synthase (inactive)	protein coding gene
Accsl	current symbol	MGI:3584519	Accsl	1-aminocyclopropane-1-carboxylate synthase (inactive)-like	protein coding gene
Acd	current symbol	MGI:87873	Acd	adrenocortical dysplasia	protein coding gene
Ace	current symbol	MGI:87874	Ace	angiotensin I converting enzyme	protein coding gene
Ace	zebrafish symbol	MGI:3644400	Ace3	angiotensin I converting enzyme 3	protein coding gene
Ace2	current symbol	MGI:1917258	Ace2	angiotensin converting enzyme 2	protein coding gene
Ace3	current symbol	MGI:3644400	Ace3	angiotensin I converting enzyme 3	protein coding gene
Acer1	current symbol	MGI:2181962	Acer1	alkaline ceramidase 1	protein coding gene
Acer2	current symbol	MGI:1920932	Acer2	alkaline ceramidase 2	protein coding gene
Acer3	current symbol	MGI:1913440	Acer3	alkaline ceramidase 3	protein coding gene
Ache	current symbol	MGI:87876	Ache	acetylcholinesterase	protein coding gene
Acin1	current symbol	MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	protein coding gene
Ackr1	current symbol	MGI:1097689	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	protein coding gene
Ackr2	current symbol	MGI:1891697	Ackr2	atypical chemokine receptor 2	protein coding gene
Ackr3	current symbol	MGI:109562	Ackr3	atypical chemokine receptor 3	protein coding gene
Ackr4	current symbol	MGI:2181676	Ackr4	atypical chemokine receptor 4	protein coding gene
Acly	current symbol	MGI:103251	Acly	ATP citrate lyase	protein coding gene
Acmsd	current symbol	MGI:2386323	Acmsd	amino carboxymuconate semialdehyde decarboxylase	protein coding gene
Acnat1	current symbol	MGI:2140197	Acnat1	acyl-coenzyme A amino acid N-acyltransferase 1	protein coding gene
Acnat1	rat symbol	MGI:2444345	Acnat2	acyl-coenzyme A amino acid N-acyltransferase 2	protein coding gene
Acnat2	rat symbol	MGI:2140197	Acnat1	acyl-coenzyme A amino acid N-acyltransferase 1	protein coding gene
Acnat2	current symbol	MGI:2444345	Acnat2	acyl-coenzyme A amino acid N-acyltransferase 2	protein coding gene
Aco1	current symbol	MGI:87879	Aco1	aconitase 1	protein coding gene
Aco2	current symbol	MGI:87880	Aco2	aconitase 2, mitochondrial	protein coding gene
Acod1	current symbol	MGI:103206	Acod1	aconitate decarboxylase 1	protein coding gene
Acot1	current symbol	MGI:1349396	Acot1	acyl-CoA thioesterase 1	protein coding gene
Acot1	human symbol	MGI:2159619	Acot3	acyl-CoA thioesterase 3	protein coding gene
Acot1	human symbol	MGI:2384969	Acot5	acyl-CoA thioesterase 5	protein coding gene
Acot10	current symbol	MGI:1928940	Acot10	acyl-CoA thioesterase 10	protein coding gene
Acot11	current symbol	MGI:1913736	Acot11	acyl-CoA thioesterase 11	protein coding gene
Acot12	current symbol	MGI:1921406	Acot12	acyl-CoA thioesterase 12	protein coding gene
Acot13	current symbol	MGI:1914084	Acot13	acyl-CoA thioesterase 13	protein coding gene
Acot2	human symbol	MGI:1349396	Acot1	acyl-CoA thioesterase 1	protein coding gene
Acot2	current symbol	MGI:2159605	Acot2	acyl-CoA thioesterase 2	protein coding gene
Acot3	current symbol	MGI:2159619	Acot3	acyl-CoA thioesterase 3	protein coding gene
Acot4	current symbol	MGI:2159621	Acot4	acyl-CoA thioesterase 4	protein coding gene
Acot5	current symbol	MGI:2384969	Acot5	acyl-CoA thioesterase 5	protein coding gene
Acot6	current symbol	MGI:1921287	Acot6	acyl-CoA thioesterase 6	protein coding gene
Acot7	current symbol	MGI:1917275	Acot7	acyl-CoA thioesterase 7	protein coding gene
Acot8	current symbol	MGI:2158201	Acot8	acyl-CoA thioesterase 8	protein coding gene
Acot9	current symbol	MGI:1928939	Acot9	acyl-CoA thioesterase 9	protein coding gene
Acot9	human symbol	MGI:1928940	Acot10	acyl-CoA thioesterase 10	protein coding gene
Acox1	current symbol	MGI:1330812	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	protein coding gene
Acox2	current symbol	MGI:1934852	Acox2	acyl-Coenzyme A oxidase 2, branched chain	protein coding gene
Acox3	current symbol	MGI:1933156	Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	protein coding gene
Acoxl	current symbol	MGI:1921371	Acoxl	acyl-Coenzyme A oxidase-like	protein coding gene
Acp1	current symbol	MGI:87881	Acp1	acid phosphatase 1, soluble	protein coding gene
Acp1	human synonym	MGI:1917566	Ndufab1	NADH:ubiquinone oxidoreductase subunit AB1	protein coding gene
Acp1	human synonym	MGI:4936891	Ndufab1-ps	NADH:ubiquinone oxidoreductase subunit AB1b	pseudogene
Acp2	current symbol	MGI:87882	Acp2	acid phosphatase 2, lysosomal	protein coding gene
Acp3	current symbol	MGI:1928480	Acp3	acid phosphatase 3	protein coding gene
Acp4	current symbol	MGI:3644563	Acp4	acid phosphatase 4	protein coding gene
Acp5	current symbol	MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	protein coding gene
Acp6	current symbol	MGI:1931010	Acp6	acid phosphatase 6, lysophosphatidic	protein coding gene
Acp7	current symbol	MGI:2142121	Acp7	acid phosphatase 7, tartrate resistant	protein coding gene
Acr	current symbol	MGI:87884	Acr	acrosin prepropeptide	protein coding gene
Acrbp	current symbol	MGI:1859515	Acrbp	proacrosin binding protein	protein coding gene
Acsbg1	current symbol	MGI:2385656	Acsbg1	acyl-CoA synthetase bubblegum family member 1	protein coding gene
